,종목명,현재가,전일대비,등락률
0,딥노이드,"4,880",하락 -850,-14.83%
1,그린리소스,"10,700","하락 -1,050",-8.94%
2,동성화인텍,"31,250","하락 -2,800",-8.22%
3,STX엔진,"44,250","하락 -3,300",-6.94%
4,에스엔시스,"47,750","하락 -3,450",-6.74%
5,우리기술투자,"10,310",하락 -650,-5.93%
6,솔루엠,"18,250","하락 -1,100",-5.68%
7,한국카본,"33,550","하락 -2,000",-5.63%
8,에스티팜,"92,800","하락 -5,500",-5.60%
9,한미약품,"290,500","하락 -15,500",-5.07%
10,메지온,"53,300","하락 -2,500",-4.48%
11,태광,"26,150","하락 -1,200",-4.39%
12,태웅,"35,250","하락 -1,550",-4.21%
13,성광벤드,"33,900","하락 -1,450",-4.10%
14,더존비즈온,"81,800","하락 -3,300",-3.88%
