,종목명,현재가,전일대비,등락률
0,삼현,"19,330","상한가 4,460",+29.99%
1,원익홀딩스,"11,310","상승 1,970",+21.09%
2,코리아써키트,"15,130","상승 2,030",+15.50%
3,젬백스,"56,100","상승 6,850",+13.91%
4,심텍,"28,300","상승 3,450",+13.88%
5,하나마이크론,"15,830","상승 1,810",+12.91%
6,기가비스,"30,450","상승 3,350",+12.36%
7,미래에셋증권,"21,950","상승 2,250",+11.42%
8,셀비온,"24,100","상승 2,150",+9.79%
9,오리엔탈정공,"11,910","상승 1,010",+9.27%
10,코스메카코리아,"65,500","상승 5,400",+8.99%
11,네오셈,"9,160",상승 740,+8.79%
12,키움증권,"231,000","상승 18,500",+8.71%
13,동진쎄미켐,"31,750","상승 2,500",+8.55%
14,테스,"30,900","상승 2,200",+7.67%
